time[us], rot/min, throttle in duty[%], distance[m]
41194077, 0.000000, 0.000000, 1.798478
41244089, 0.000000, 0.000000, 1.798478
41294081, 0.000000, 0.000000, 1.798188
41344089, 0.000000, 0.000000, 1.798188
41394077, 0.000000, 0.000000, 1.802180
41444089, 0.000000, 0.000000, 1.802180
41494081, 0.000000, 0.000000, 1.798400
41544089, 0.000000, 0.000000, 1.798400
41594077, 0.000000, 0.000000, 1.798394
41644089, 0.000000, 0.000000, 1.798394
41694081, 0.000000, 0.000000, 1.807046
41744089, 0.000000, 0.000000, 1.807046
41794077, 0.000000, 0.000000, 1.807089
41844089, 0.000000, 0.000000, 1.807089
41894081, 0.000000, 0.000000, 1.807008
41944089, 0.000000, 0.000000, 1.807008
41994077, 0.000000, 0.000000, 1.802731
42044089, 0.000000, 0.000000, 1.802731
42094081, 0.000000, 0.000000, 1.802701
42144089, 0.000000, 0.000000, 1.802701
42194077, 0.000000, 0.000000, 1.811632
42244089, 0.000000, 0.000000, 1.811632
42294081, 0.000000, 0.000000, 1.802744
42344089, 0.000000, 0.000000, 1.802744
42394077, 0.000000, 0.000000, 1.811509
42444089, 0.000000, 0.000000, 1.811509
42494081, 0.000000, 0.000000, 1.798409
42544089, 0.000000, 0.000000, 1.798409
42594077, 0.000000, 0.000000, 1.807233
42644089, 0.000000, 0.000000, 1.807233
42694081, 0.000000, 0.000000, 1.759682
42744089, 0.000000, 0.000000, 1.759682
42794077, 0.000000, 0.000000, 1.798411
42844089, 0.000000, 0.000000, 1.798411
42894081, 0.000000, 0.000000, 1.820106
42944089, 0.000000, 0.000000, 1.820106
42994077, 0.000000, 0.000000, 1.798428
43044089, 0.000000, 0.000000, 1.798428
43094081, 0.000000, 0.000000, 1.806819
43144089, 0.000000, 0.000000, 1.806819
43194077, 0.000000, 0.000000, 1.798334
43244089, 0.000000, 0.000000, 1.798334
43294081, 0.000000, 0.000000, 1.802664
43344089, 0.000000, 0.000000, 1.802664
43394077, 0.000000, 0.000000, 1.798244
43444089, 0.000000, 0.000000, 1.798244
43494081, 0.000000, 0.000000, 1.798512
43544089, 0.000000, 0.000000, 1.798512
43594077, 0.000000, 0.000000, 1.798238
43644264, 0.000000, 0.000000, 1.798238
43694081, 0.000000, 0.000000, 1.811599
43744610, 0.000000, 0.000000, 1.811599
43794077, 0.000000, 0.000000, 1.802619
43844948, 0.000000, 0.000000, 1.802619
43894081, 0.000000, 0.000000, 1.798201
43944085, 0.000000, 0.000000, 1.798201
43994085, 0.000000, 0.000000, 1.798317
44044077, 0.000000, 0.000000, 1.798317
44094081, 0.000000, 0.000000, 1.802504
44144085, 0.000000, 0.000000, 1.802504
44194089, 0.000000, 0.000000, 1.803014
44244077, 0.000000, 0.000000, 1.803014
44294089, 0.000000, 0.000000, 1.807033
44344085, 0.000000, 0.000000, 1.807033
44394089, 0.000000, 0.000000, 1.798379
44444085, 0.000000, 0.000000, 1.798379
44494089, 0.000000, 0.000000, 1.802679
44544085, 0.000000, 0.000000, 1.802679
44594089, 0.000000, 0.000000, 1.798471
44644085, 0.000000, 0.000000, 1.798471
